scientificName,kingdom
Miriquidica garovaglii (Schaer.) Hertel et Rambold,Fungi
Miriquidica leucophaea (Flörke ex Rabenh.) Hertel et Rambold,Fungi
Miriquidica subplumbea (Anzi) Cl. Roux,Fungi
"Montanelia disjuncta (Erichsen) Divakar, A. Crespo, Wedin et Essl.",Fungi
"Montanelia sorediata (Ach.) Divakar, A. Crespo, Wedin et Essl.",Fungi
Mycoblastus affinis (Schaer.) Schauer ,Fungi
Mycoblastus sanguinarius (L.) Norman,Fungi
Myrionora globulosa (Flörke) S. Y. Kondr.,Fungi
Parmelia ernstiae Feurer et A. Thell ,Fungi
Parmelia farinosa L.,Fungi
Parmelia neglecta Asahina,Fungi
Parmelia omphalodes (L.) Ach.,Fungi
Parmelia saxatilis (L.) Ach.,Fungi
"Parmelia serrata A. Crespo, M. C. Molina et D. Hawksw. in Molina et al.",Fungi
Parmelia submontana Nádv. ex Hale,Fungi
Parmelia sulcata Taylor,Fungi
Parmelina carporrhizans (Taylor) Poelt et Vězda ,Fungi
Parmelina pastillifera (Harm.) Schub. et Klem.,Fungi
Parmelina quercina (Willd.) Hale,Fungi
Parmelina tiliacea (Hoffm.) Hale ,Fungi
Parmeliopsis afrorevoluta (Krog et Swinscow) Elix et Hale,Fungi
Parmeliopsis ambigua (Wulfen) Nyl.,Fungi
Parmeliopsis hyperopta (Ach.) Arnold,Fungi
Parmotrema arnoldii (Du Rietz) Hale,Fungi
Parmotrema crinitum (Ach.) Choisy ,Fungi
Parmotrema perlatum (Huds.) Choisy,Fungi
Parmotrema stuppeum (Taylor) Hale ,Fungi
Platismatia glauca (L.) W. L. Culb. et C. F. Culb.,Fungi
Pleurosticta acetabulum (Neck.) Elix et Lumbsch,Fungi
Pleurosticta koflerae (Clauzade et Poelt) Elix et Lumbsch,Fungi
"Polyozosia agardhiana (Ach.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia albescens (Hoffm.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia bandolensis (B. de Lesd.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia crenulata (Ach.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia dispersa (Pers.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia fugiens (Nyl.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia hagenii (Pers.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia perpruinosa Flöberg ex S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia persimilis (Th. Fr.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia populicola (DC.) S.Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia pruinosa (Chaub.) S.Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia reuteri (Schrad.) S.Y. Kondr., L. Lőkös et Farkas ",Fungi
"Polyozosia saligna (Schrad.) S.Y. Kondr., L. Lőkös et Farkas",Fungi
"Polyozosia sambuci (Pers.) S.Y. Kondr., L. Lőkös et Farkas ",Fungi
"Polyozosia semipallida (H. Magn.) S.Y. Kondr., L. Lőkös et Farkas",Fungi
Protoblastenia calva (Dicks.) Zahlbr.,Fungi
Protoblastenia incrustans (DC.) J. Steiner,Fungi
Protoblastenia rupestris (Scop.) J. Steiner,Fungi
Protoblastenia siebenhaariana (Körb.) J. Steiner,Fungi
Protoblastenia terricola (Anzi) Lynge,Fungi
Protomicarea limosa (Ach.) Hafellner,Fungi
Protoparmelia badia (Hoffm.) Hafellner,Fungi
Protoparmelia montagnei (Fr.) Sancho et A. Crespo,Fungi
Protoparmelia nephaea (Sommerf.) R. Sant,Fungi
"Protoparmelia ochrococca (Nyl.) P. M. Jørg., Rambold et Hertel ",Fungi
Protoparmelia oleagina (Harm.) Coppins,Fungi
Protoparmeliopsis acharianum (A. L. Sm.) Moberg et R. Sant.,Fungi
Protoparmeliopsis admontensis (Zahlbr.) Hafellner,Fungi
Protoparmeliopsis bolcanum (Pollich) S. Y. Kondr.,Fungi
Protoparmeliopsis configuratum (Zahlbr.) S. Y. Kondr.,Fungi
Protoparmeliopsis garovaglii (Körb.) S. Y. Kondr.,Fungi
Protoparmeliopsis laatokkensis (Räsänen) Moberg et R. Sant.,Fungi
Protoparmeliopsis macrocyclos (H. Magn.) S. Y. Kondr.,Fungi
Protoparmeliopsis muralis (Schreb.) M. Choisy ,Fungi
Protoparmeliopsis riparium (Flot.) S. Y. Kondr. ,Fungi
Pseudephebe pubescens (L.) Choisy,Fungi
Pseudevernia furfuracea (L.) Zopf,Fungi
Psilolechia clavulifera (Nyl.) Coppins,Fungi
Psilolechia lucida (Ach.) Choisy,Fungi
Psora decipiens (Hedw.) Hoffm.,Fungi
Psora saviczii (Tomin) Follmann et A. Crespo,Fungi
Psora testacea Hoffm.,Fungi
Punctelia jeckeri (Roum.) Kalb,Fungi
Punctelia subrudecta (Nyl.) Krog,Fungi
Punctelia ulophylla (Ach.) van Herk et Aptroot ,Fungi
Pycnothelia papillaria Dufour,Fungi
Pyrrhospora quernea (Dicks.) Körb.,Fungi
Ramalina baltica Lettau,Fungi
Ramalina breviuscula Nyl.,Fungi
Ramalina calicaris (L.) Fr.,Fungi
Ramalina canariensis Steiner,Fungi
Ramalina capitata (Ach.) Nyl.,Fungi
Ramalina carpatica Körb.,Fungi
Ramalina dilacerata (Hoffm.) Hoffm.,Fungi
Ramalina elegans (Bagl. et Car.) Stizenb.,Fungi
"Ramalina europaea Gasparyan, Sipman et Lücking",Fungi
Ramalina farinacea (L.) Ach.,Fungi
Ramalina fastigiata (Pers.) Ach.,Fungi
Ramalina fraxinea (L.) Ach. ,Fungi
Ramalina intermedia (Delise ex Nyl.) Nyl.,Fungi
Ramalina lacera (With.) J. R. Laundon,Fungi
Ramalina lojkana Mot.,Fungi
Ramalina obtusata (Arnold) Bitt.,Fungi
Ramalina pollinaria (Westr.) Ach.,Fungi
