taxonID	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship
agarics:ukraine:taxon:170	Clitocybe phyllophila	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	phyllophila		species	(Pers.) P. Kumm.
agarics:ukraine:taxon:172	Clitocybe rivulosa	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	rivulosa		species	(Pers.) P.Kumm.
agarics:ukraine:taxon:173	Clitocybe squamulosa	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	squamulosa		species	(Pers.) P.Kumm.
agarics:ukraine:taxon:174	Clitocybe strigosa	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	strigosa		species	Harmaja
agarics:ukraine:taxon:175	Clitocybe suaveolens	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	suaveolens		species	(Schumach.) P.Kumm.
agarics:ukraine:taxon:176	Clitocybe subalutacea	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	subalutacea		species	(Batsch) P.Kumm.
agarics:ukraine:taxon:177	Clitocybe tornata	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	tornata		species	(Fr.) Quél.
agarics:ukraine:taxon:178	Clitocybe umbilicata	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	umbilicata		species	P.Kumm.
agarics:ukraine:taxon:179	Clitocybe vibecina	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	vibecina		species	(Fr.) Quél.
agarics:ukraine:taxon:180	Clitocybula lacerata	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Marasmiaceae | Clitocybula	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	lacerata		species	(Scop.) Métrod
agarics:ukraine:taxon:181	Clitopaxillus alexandri	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Pseudoclitocybaceae | Clitopaxillus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pseudoclitocybaceae	Clitopaxillus	alexandri		species	(Gillet) G.Moreno, Vizzini, Consiglio & P.Alvarado
agarics:ukraine:taxon:182	Clitopilopsis hirneola	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Entolomataceae | Clitopilopsis	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilopsis	hirneola		species	(Fr.) Kühner
agarics:ukraine:taxon:183	Clitopilus caelatus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Entolomataceae | Clitopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	caelatus		species	(Fr.) Vila & Contu
agarics:ukraine:taxon:184	Clitopilus hobsonii	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Entolomataceae | Clitopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	hobsonii		species	(Berk.) P.D.Orton
agarics:ukraine:taxon:185	Clitopilus prunulus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Entolomataceae | Clitopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	prunulus		species	(Scop.) P.Kumm.
agarics:ukraine:taxon:186	Clitopilus scyphoides	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Entolomataceae | Clitopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	scyphoides		species	(Fr.) Singer
agarics:ukraine:taxon:187	Collybia cirrhata	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Collybia	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Collybia	cirrhata		species	(Schumach.) Quél.
agarics:ukraine:taxon:188	Collybia cookei	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Collybia	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Collybia	cookei		species	(Bres.) J.D.Arnold
agarics:ukraine:taxon:189	Collybia tuberosa	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Collybia	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Collybia	tuberosa		species	(Bull.) P.Kumm.
agarics:ukraine:taxon:190	Connopus acervatus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Omphalotaceae | Connopus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Connopus	acervatus		species	(Fr.) K.W.Hughes, Mather & R.H.Petersen
agarics:ukraine:taxon:191	Conocybe aberrans	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Bolbitiaceae | Conocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	aberrans		species	(Kühner) Kühner
agarics:ukraine:taxon:192	Conocybe albipes rugata	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Bolbitiaceae | Conocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	albipes	rugata	varietas	Hauskn.
agarics:ukraine:taxon:193	Conocybe apala	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Bolbitiaceae | Conocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	apala		species	(Fr.) Arnolds
agarics:ukraine:taxon:194	Conocybe arrhenii	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Bolbitiaceae | Conocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	arrhenii		species	(Fr.) Kits van Wav.
agarics:ukraine:taxon:195	Conocybe blattaria	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Bolbitiaceae | Conocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	blattaria		species	(Fr.) Kühner
agarics:ukraine:taxon:196	Conocybe brachypodii	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Bolbitiaceae | Conocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	brachypodii		species	(Velen.) Hauskn. & Svrček
